"品目コード","品目名称","２年売上"
"G123Z728--------F7","Ｚ７２８　　　Ｆ　１０００",0
"G123ZC006-------F7","ＺＣ００６　　Ｆ　１０００",0
"G123ZC006-------N3","ＺＣ００６　　Ｎ　　　２５",0
"G123ZC022-------F4","ＺＣ０２２　　Ｆ　　８００",0
"G123ZC023-------N3","ＺＣ０２３　　Ｎ    　２５",200
"G123ZC027-------N3","ＺＣ０２７　Ｎ　　　２５",0
"G123ZC028-------F5","ＺＣ０２８  Ｆ    ９００",0
"G123ZC028-------N3","ＺＣ０２８　Ｎ　　　２５",0
"G123ZE708-------F7","ＺＥ７０８　　Ｆ　１０００",0
"G123ZE708-------N3","ＺＥ７０８　　Ｎ　　　２５",0
"G123ZE709-------F7","ＺＥ７０９　　Ｆ　１０００",0
"G123ZE709-------N3","ＺＥ７０９　　Ｎ　　　２５",0
"G123ZE710-------N3","ＺＥ７１０　　Ｎ　　　２５",0
"G123ZE719-------F7","ＺＥ７１９　　Ｆ　１０００",0
"G123ZE720-------F7","ＺＥ７２０　　Ｆ　１０００",0
"G123ZE721-------F7","ＺＥ７２１　　Ｆ　１０００",0
"G123ZM032-------F7","ＺＭ０３２　　Ｆ　１０００",17000
"G123ZM032-------N3","ＺＭ０３２　　Ｎ　　　２５",1350
"G123ZM070-------F7",,20000
"G123ZM070-------N3",,725
"G123ZM070P------F4","ＺＭ０７０Ｐ　　Ｆ　　８００",0
"G123ZM075P------F4","ＺＭ０７５Ｐ　Ｆ　　８００",0
"G123ZM076-------F7","ＺＭ０７６　　Ｆ　１０００",8000
"G123ZM076-------N3","ＺＭ０７６　　Ｎ　　　２５",11100
"G123ZM078-------N3",,0
"G123ZM082P------F4","ＺＭ０８２Ｐ　　Ｆ　　８００",0
"G123ZM083P------F4","ＺＭ０８３Ｐ　　Ｆ　　８００",0
"G123ZM085-------F2","ＺＭ０８５　　Ｆ　５００",422000
"G123ZM085-------F7","ＺＭ０８５　　Ｆ　１０００",25000
"G123ZM085-------N3","ＺＭ０８５　　Ｎ　　　２５",150
"G123ZM085P------F4","ＺＭ０８５Ｐ　Ｆ　　８００",0
"G123ZM086P------F4","ＺＭ０８６Ｐ　　Ｆ　　８００",0
"G123ZM087P------F4","ＺＭ０８７Ｐ　　Ｆ　　８００",0
"G123ZM088-------N3",,6600
"G123ZM088P------F4","ＺＭ０８８Ｐ　　Ｆ　　８００",0
"G123ZM090P------F4","ＺＭ０９０Ｐ　　Ｆ　　８００",0
"G123ZM094-------F7","ＺＭ０９４　　Ｆ　１０００",2000
"G123ZM096P------F4","ＺＭ０９６Ｐ　Ｆ　　８００",0
"G123ZM097-------F6","ＺＭ０９７　　Ｆ　　９５０",0
"G123ZM097P------F4","ＺＭ０９７Ｐ　Ｆ　　８００",0
"G123ZM098-------F6","ＺＭ０９８　　Ｆ　　９５０",0
"G123ZM098P------F4","ＺＭ０９８Ｐ　Ｆ　　８００",0
"G123ZM099-------F7","ＺＭ０９９　　Ｆ　１０００",0
"G123ZM099-------N3","ＺＭ０９９　　Ｎ　　　２５",0
"G123ZM100-------F7","ＺＭ１００　　Ｆ　１０００",0
"G123ZM100-------N3","ＺＭ１００　　Ｎ　　　２５",0
