"品目コード","品目名称","２年売上"
"G123715FT-------F7","７１５ＦＴ　　Ｆ　１０００",19000
"G123715FTP------F4","７１５ＦＴＰ　Ｆ　８００",0
"G123720FT-------F7","７２０ＦＴ　　Ｆ　１０００",1108000
"G123720FT-------N3","７２０ＦＴ　　Ｎ　２５",100
"G123720FTP------F4","７２０ＦＴＰ　Ｆ　　８００",167000
"G123770FT-------F7","７７０ＦＴ　　Ｆ　１０００",0
"G123770FT-------N3","７７０ＦＴ　　Ｎ　２５",65000
"G123805FA-------F7","８０５ＦＡ　　Ｆ　１０００",0
"G123820DT-------A5",,6617540
"G123820DT-------F7","８２０ＤＴ　Ｆ　１０００",0
"G123820DT-------N3","８２０ＤＴ　　Ｎ　　　２５",0
"G123820DTP------F4","８２０ＤＴＰ　　Ｆ　　８００",0
"G12382105M------N3","８２１０５Ｍ　Ｎ　　　２５",16750
"G123825CA-------A5",,2977330
"G123825CA-------F7","８２５ＣＡ　　Ｆ　１０００",459778
"G123825CA-------N3",,150
"G123836CA-------F7","８３６ＣＡ　　Ｆ　１０００",1576000
"G123836CA-------N3",,75
"G12384035M------N3","８４０３５Ｍ　Ｎ　　　２５",5500
"G12385085M------N3","８５０８５Ｍ　Ｎ　　　２５",4000
"G123895FA-------F7","８９５ＦＡ　　Ｆ　１０００",56000
"G123895FA-------N3",,950
"G123AFC20H------N3","ＹＦＣ２０Ｈ　Ｎ　２５",148600
"G123B022--------F7","Ｂ０２２　　　Ｆ　１０００",195539
"G123B022--------N3","Ｂ０２２　　　Ｎ　　　２５",366025
"G123B028--------F7","Ｂ０２８　　　Ｆ　１０００",261000
"G123B028--------N3","Ｂ０２８　　　Ｎ　　　２５",75300
"G123B028-----S--F7","Ｂ０２８　　　Ｆ　１０００　再",0
"G123B028--B11---F7","Ｂ０２８　　　Ｆ　１０００　Ｂ１１",90000
"G123B028--B22---N3","Ｂ０２８　　　Ｎ　　　２５　Ｂ２２",36500
"G123B028W-------F2","Ｂ０２８Ｗ　　Ｆ　５００",214000
"G123B028W-------N3",,1400
"G123B128--------F7","Ｂ１２８　　　Ｆ　１０００",418000
"G123B128--------N3","Ｂ１２８　　　Ｎ　　　２５",70400
"G123B128--B11---F7","Ｂ１２８　　　Ｆ　１０００　Ｂ１１",44000
"G123B128H-B01---F4","Ｂ１２８Ｈ　　Ｆ　　８００　Ｂ０１",164000
"G123B128H-B01---N3","Ｂ１２８Ｈ　　Ｎ　　　２５　Ｂ０１",13225
"G123B128H-B02---F4","Ｂ１２８Ｈ　　Ｆ　　８００　Ｂ０２",368800
"G123B128H-B03---F2","Ｂ１２８Ｈ　　Ｆ　　５００　Ｂ０３",56000
"G123B129--------F7","Ｂ１２９　　　Ｆ　１０００",1735500
"G123B228--------F7","Ｂ２２８　　　Ｆ　１０００",810000
"G123B228--------N3","Ｂ２２８　　　Ｎ　　　２５",80525
"G123B228-----S--F7","Ｂ２２８　　　Ｆ　１０００　再",0
"G123B300H-------N3","Ｂ３００Ｈ　　Ｎ　　　２５",12000
"G123B300H-B11---F2","Ｂ３００Ｈ　　Ｆ　　５００　Ｂ１１",0
"G123B310H-------N3","Ｂ３１０Ｈ　　Ｎ　　２５",19450
"G123B410--------F7","Ｂ４１０　　　Ｆ　１０００",100000
"G123B410--------N3","Ｂ４１０　　　Ｎ　　　２５",17325
"G123C130--------N3","Ｃ１３０　　　Ｎ　　　２５",83575
"G123C150--------F7","Ｃ１５０　　　Ｆ　１０００",318500
"G123C150--------N3","Ｃ１５０　　　Ｎ　　　２５",123475
"G123C150N-------F7","Ｃ１５０Ｎ　　Ｆ　１０００",0
"G123C150N----S--F7","Ｃ１５０Ｎ　　Ｆ　１０００再",0
"G123C180--------A4","Ｃ１８０　　　ＡＣ１１００",233200
"G123C180--------F7","Ｃ１８０　　　Ｆ　１０００",185000
"G123C180--------N3","Ｃ１８０　　　Ｎ　　　２５",376025
"G123C180--B31---N3","Ｃ１８０　　　Ｎ　　　２５　Ｂ３１",58975
"G123C180--BB1---N3","Ｃ１８０　　　Ｎ　　　２５　ＢＢ１",17000
"G123C180--C17---N3","Ｃ１８０　　　Ｎ　　　２５　Ｃ１７",0
"G123C2495-------A1",,600
"G123C410--------F7","Ｃ４１０　　　Ｆ　１０００",529000
"G123C410--------N3","Ｃ４１０　　　Ｎ　　　２５",6375
"G123C410-----S--F7","Ｃ４１０　　　Ｆ　１０００　再",0
"G123C410--C81---F7",,56000
"G123C410A-------F7","Ｃ４１０Ａ　　Ｆ　１０００",0
"G123C435--------F5","Ｃ４３５　    Ｆ　　　９００",52084
"G123C435--------N3","Ｃ４３５　　　Ｎ　　　２５",850
"G123C435-----S--N3","Ｃ４３５　　　Ｎ　　　２５　再",0
"G123C450--------F7","Ｃ４５０　　　Ｆ　１０００",316000
"G123C450--------N3","Ｃ４５０　　　Ｎ　　　２５",371850
"G123C450-----S--F7","Ｃ４５０　　　Ｆ　１０００　再",0
"G123C454--------N3","Ｃ４５４　　　Ｎ　　　２５",29900
"G123C460--------A2","Ｃ４６０　　　ＡＣ１０００",10000
"G123C460--------F7","Ｃ４６０　　　Ｆ　１０００",69250
"G123C460--------N3","Ｃ４６０　　　Ｎ　　　２５",0
"G123C460-----S--F7","Ｃ４６０　　　Ｆ　１０００　再",0
"G123C470--------F1","Ｃ４７０　　　Ｆ　　４００",0
"G123C470--------F2","Ｃ４７０　　　Ｆ　　５００",86500
"G123C470--------F7","Ｃ４７０　　　Ｆ　１０００",194000
"G123C470--------N3",,7100
"G123C470-----S--F7","Ｃ４７０　　　Ｆ　１０００　再",0
"G123C481--------F4","Ｃ４８１　　　Ｆ　　８００",97600
"G123C481--------F7","Ｃ４８１　　　Ｆ　１０００",58000
"G123C481--------N2","Ｃ４８１　　　Ｎ　　　２０",22300
"G123C481-----S--F4","Ｃ４８１　　　Ｆ　　８００　再",0
"G123C481--C17---F4","Ｃ４８１　　　Ｆ　８００　　Ｃ１７",0
"G123C481--C17---F7","Ｃ４８１　　　Ｆ　１０００　Ｃ１７",0
"G123C481--C17---N2","Ｃ４８１　　　Ｎ　　　２０　Ｃ１７",0
"G123C481B-------F4","Ｃ４８１Ｂ　　Ｆ　　８００",0
"G123C482--------F4",,69600
"G123C487--------F7","Ｃ４８７　　　Ｆ　１０００",0
"G123C487--------N3","Ｃ４８７　　　Ｎ　　　２５",23775
"G123C490--------F7","Ｃ４９０　　　Ｆ　１０００",64000
"G123C490C-------F7",,52000
"G123C5050-------A3","Ｃ５０５０　　ＡＣ３５００",1089570
"G123C510--C17---FM","Ｃ５１０　　　Ｆ　　６００　Ｃ１７",0
"G123C520N-------00",,1683520
"G123C520N-------A3","Ｃ５２０Ｎ　　ＡＣ３５００",0
"G123C520N-------F7","Ｃ５２０Ｎ　　Ｆ　１０００",0
"G123C520N-------N3","Ｃ５２０Ｎ　　Ｎ　　　２５",10650
"G123C520N-C16---N3","Ｃ５２０Ｎ　　Ｎ　　　２５　Ｃ１６",14000
"G123C530--------F7","Ｃ５３０　　　Ｆ　１０００",942000
"G123C530--------N3","Ｃ５３０　　　Ｎ　　　２５",0
"G123C530-----S--F7","Ｃ５３０　　　Ｆ　１０００　再",0
"G123C530S-------F2",,0
"G123C535--------N3","Ｃ５３５　　　Ｎ　　　２５",311750
"G123C540--------00",,646970
"G123C550--------A3","Ｃ５５０　　　ＡＣ３５００",138660
"G123C551--------F7","Ｃ５５１　　　Ｆ　１０００",1200000
"G123C551--------N3","Ｃ５５１　　　Ｎ　　　２５",5550
"G123C551-----S--F7","Ｃ５５１　　　Ｆ　１０００　再",0
"G123C6061N------F5","Ｃ６０６１Ｎ　Ｆ　　９００",0
"G123C6061N------F7",,0
"G123C6061N------N3","Ｃ６０６１Ｎ　Ｎ　　　２５",0
"G123C6061N---S--F5","Ｃ６０６１Ｎ　Ｆ　　９００　再",0
"G123C6061N---S--F7","Ｃ６０６１Ｎ  Ｆ １０００再",0
"G123C6061NB41---F7","Ｃ６０６１Ｎ  Ｆ １０００ Ｂ４１",103000
"G123C6061NC18---F7",,0
"G123C6061NC18S--N3","Ｃ６０６１Ｎ　Ｎ　　　２５　Ｃ１８　再",0
"G123C7070-------A3","Ｃ７０７０　　ＡＣ３５００",603400
"G123C7070-------F7",,4505
"G123C790N-------N3",,1500
"G123C791B-------FM","Ｃ７９１Ｂ　　Ｆ　　６００",92400
"G123C791B-------N3","Ｃ７９１Ｂ　　Ｎ　　　２５",115300
"G123C792G-------FM",,31800
"G123C792G-------N3","Ｃ７９２Ｇ　　Ｎ　　　２５",0
"G123C793N-------N2","Ｃ７９３Ｎ　　Ｎ　　　２０",29500
"G123C794B-------FM","Ｃ７９４Ｂ　　Ｆ　　６００",88200
"G123C795B-------F2","Ｃ７９５Ｂ　　Ｆ　　５００",11500
"G123C795B-------N2","Ｃ７９５Ｂ　　Ｎ　　　２０",700
"G123C796B-------N2","Ｃ７９６Ｂ　　Ｎ　　　２０",1000
"G123C797N-------N3","Ｃ７９７Ｎ　　Ｎ　　　２５",4900
"G123C798G-------N3","Ｃ７９８Ｇ　　Ｎ　　　２５",42000
"G123C799B-------FM","Ｃ７９９Ｂ　　Ｆ　　６００",0
"G123C799B-------N3","Ｃ７９９Ｂ　　Ｎ　　　２５",0
"G123C820N-------F5","Ｃ８２０Ｎ　　Ｆ　　９００",0
"G123C820N-------F7","Ｃ８２０Ｎ　　Ｆ　１０００",0
"G123C820N-------N3","Ｃ８２０Ｎ　　Ｎ　　　２５",0
